Time - Intensity,CTRL Intensity[kHz] - Intensity,Time - Intensity,FND Intensity[kHz] - Intensity
0,0.01,0,71.45
0.1,0.04,0.1,71.26
0.2,0.05,0.2,71.29
0.3,0.01,0.3,71.58
0.4,0.03,0.4,70.01
0.5,0.02,0.5,72.25
0.6,0.01,0.6,72.36
0.7,0.04,0.7,71.36
0.8,0.02,0.8,71.71
0.9,0.04,0.9,73.12
1,0.02,1,70.99
1.1,0.03,1.1,74.15
1.2,83.48,1.2,72.6
1.3,95.43,1.3,70.86
1.4,89.83,1.4,70.42
1.5,76.06,1.5,71.39
1.6,76.42,1.6,70.93
1.7,73.92,1.7,74.54
1.8,71.8,1.8,72.66
1.9,65.97,1.9,72.05
2,61.74,2,71.4
2.1,65.59,2.1,71.44
2.2,59.78,2.2,68.91
2.3,60.88,2.3,70.67
2.4,58.85,2.4,72.64
2.5,56.12,2.5,70.1
2.6,56.76,2.6,72.06
2.7,54.54,2.7,71.23
2.8,53.47,2.8,71.02
2.9,58.26,2.9,71.48
3,51.98,3,71.15
3.1,50.99,3.1,70.55
3.2,51.66,3.2,71.05
3.3,50.51,3.3,70.67
3.4,48.51,3.4,71.41
3.5,48.71,3.5,69.44
3.6,49.34,3.6,69.14
3.7,61.65,3.7,70.24
3.8,55.45,3.8,72.05
3.9,48.13,3.9,70.87
4,47.9,4,70.64
4.1,48.56,4.1,70.56
4.2,51.71,4.2,71.73
4.3,53.01,4.3,70.15
4.4,41.59,4.4,70.77
4.5,43.65,4.5,69.94
4.6,41.18,4.6,70.81
4.7,47.7,4.7,69.89
4.8,52.57,4.8,69.7
4.9,46.83,4.9,70.89
5,43.83,5,69.97
5.1,53.43,5.1,71.36
5.2,51.1,5.2,70.55
5.3,60.79,5.3,69.48
5.4,56.52,5.4,71.36
5.5,38.56,5.5,69.85
5.6,41.12,5.6,70.35
5.7,40.11,5.7,71.58
5.8,40.49,5.8,70.61
5.9,40.96,5.9,70.67
6,42.39,6,70.83
6.1,40.51,6.1,69.89
6.2,37.13,6.2,70.84
6.3,36.48,6.3,70.87
6.4,37.57,6.4,70.81
6.5,38.88,6.5,70.41
6.6,37.37,6.6,71.14
6.7,36.85,6.7,69.7
6.8,37.46,6.8,71.74
6.9,38.75,6.9,70.61
7,37.09,7,71.52
7.1,35.08,7.1,71.11
7.2,37.79,7.2,70.67
7.3,38.71,7.3,71.04
7.4,35.58,7.4,71.07
7.5,34.76,7.5,70.34
7.6,35.76,7.6,69.34
7.7,35.7,7.7,70.16
7.8,44.45,7.8,69.99
7.9,34.9,7.9,70.65
8,33.66,8,69.25
8.1,33.31,8.1,69.04
8.2,32.44,8.2,69.48
8.3,31.1,8.3,70.4
8.4,31.01,8.4,72.45
8.5,30.38,8.5,71.95
8.6,32.19,8.6,69.7
8.7,30.01,8.7,70.53
8.8,33.19,8.8,69.11
8.9,34.3,8.9,68.89
9,32.76,9,69.72
9.1,32.68,9.1,68.83
9.2,32.32,9.2,69.68
9.3,33.38,9.3,70.61
9.4,26.11,9.4,69.43
9.5,28.74,9.5,70.18
9.6,32.14,9.6,69.71
9.7,31.05,9.7,70.22
9.8,32.63,9.8,69.72
9.9,30.97,9.9,70.71
